"順位","単語","品詞","出現回数"
1,"国際","名詞",56
2,"社会","名詞",29
3,"経済","名詞",20
4,"日本","名詞",17
5,"安全","名詞",16
6,"含む","動詞",15
7,"秩序","名詞",15
8,"課題","名詞",15
9,"重要","名詞",14
10,"安定","名詞",13
11,"情勢","名詞",13
12,"情報","名詞",13
13,"グローバル","名詞",12
14,"保障","名詞",11
15,"世界","名詞",10
16,"外交","名詞",10
17,"ウクライナ","名詞",9
18,"平和","名詞",9
19,"技術","名詞",9
20,"求め","動詞",9
21,"ロシア","名詞",8
22,"地域","名詞",8
23,"環境","名詞",8
24,"認識","名詞",8
25,"依存","名詞",7
26,"基づく","動詞",7
27,"強化","名詞",7
28,"拡大","名詞",7
29,"発展","名詞",7
30,"関係","名詞",7
31,"られ","動詞",6
32,"サウス","名詞",6
33,"国家","名詞",6
34,"国連","名詞",6
35,"変化","名詞",6
36,"支配","名詞",6
37,"有する","動詞",6
38,"自由","名詞",6
39,"なっ","動詞",5
40,"中東","名詞",5
41,"主義","名詞",5
42,"価値","名詞",5
43,"全体","名詞",5
44,"冷戦","名詞",5
45,"協力","名詞",5
46,"可能","名詞",5
47,"問題","名詞",5
48,"困難","名詞",5
49,"地球","名詞",5
50,"太平洋","名詞",5
51,"安保理","名詞",5
52,"展望","名詞",5
53,"抑止","名詞",5
54,"政治","名詞",5
55,"欧州","名詞",5
56,"歴史","名詞",5
57,"民主","名詞",5
58,"相互","名詞",5
59,"繁栄","名詞",5
60,"規模","名詞",5
61,"近年","名詞",5
62,"開発","名詞",5
63,"開発途上国","名詞",5
64,"システム","名詞",4
65,"ルール","名詞",4
66,"一部","名詞",4
67,"人類","名詞",4
68,"侵略","名詞",4
69,"分断","名詞",4
70,"加え","動詞",4
71,"動き","名詞",4
72,"協調","名詞",4
73,"同盟","名詞",4
74,"周辺","名詞",4
75,"国内","名詞",4
76,"対立","名詞",4
77,"影響","名詞",4
78,"拡散","名詞",4
79,"挑戦","名詞",4
80,"新た","名詞",4
81,"新興","名詞",4
82,"既存","名詞",4
83,"時代","名詞",4
84,"東アジア","名詞",4
85,"深刻","名詞",4
86,"状況","名詞",4
87,"直面","名詞",4
88,"米国","名詞",4
89,"複雑","名詞",4
90,"進展","名詞",4
91,"おい","動詞",3
92,"インド","名詞",3
93,"サイ","名詞",3
94,"ポスト","名詞",3
95,"中国","名詞",3
96,"中心","名詞",3
97,"中核","名詞",3
98,"人権","名詞",3
99,"仮説","名詞",3
100,"公正","名詞",3
101,"共通","名詞",3
102,"十分","名詞",3
103,"原則","名詞",3
104,"向け","動詞",3
105,"国民","名詞",3
106,"増し","動詞",3
107,"変動","名詞",3
108,"多く","名詞",3
109,"多様","名詞",3
110,"存在","名詞",3
111,"実現","名詞",3
112,"対処","名詞",3
113,"対応","名詞",3
114,"年月","名詞",3
115,"弾道","名詞",3
116,"必要","名詞",3
117,"持続","名詞",3
118,"未来","名詞",3
119,"機関","名詞",3
120,"気候","名詞",3
121,"現状","名詞",3
122,"理事","名詞",3
123,"生活","名詞",3
124,"科学","名詞",3
125,"競争","名詞",3
126,"継続","名詞",3
127,"維持","名詞",3
128,"緊張","名詞",3
129,"脅威","名詞",3
130,"自国","名詞",3
131,"解決","名詞",3
132,"責任","名詞",3
133,"軍事","名詞",3
134,"連携","名詞",3
135,"進ん","動詞",3
136,"高まっ","動詞",3
137,"さらさ","動詞",2
138,"そのもの","名詞",2
139,"なら","動詞",2
140,"もたらし","動詞",2
141,"ガバナンス","名詞",2
142,"グローバ","名詞",2
143,"サプライ","名詞",2
144,"チェーン","名詞",2
145,"テロ","名詞",2
146,"デジタル","名詞",2
147,"ナンス","名詞",2
148,"バー","名詞",2
149,"パワー","名詞",2
150,"ミサイル","名詞",2
151,"リスク","名詞",2
152,"一定","名詞",2
153,"不可欠","名詞",2
154,"不安定","名詞",2
155,"不満","名詞",2
156,"主要","名詞",2
157,"予見","名詞",2
158,"二つ","名詞",2
159,"今後","名詞",2
160,"体制","名詞",2
161,"使用","名詞",2
162,"保健","名詞",2
163,"信頼","名詞",2
164,"傾向","名詞",2
165,"先進","名詞",2
166,"分離","名詞",2
167,"利害","名詞",2
168,"利益","名詞",2
169,"努力","名詞",2
170,"北朝鮮","名詞",2
171,"危機","名詞",2
172,"受け","動詞",2
173,"各地","名詞",2
174,"同志","名詞",2
175,"国力","名詞",2
176,"地理","名詞",2
177,"増す","動詞",2
178,"変更","名詞",2
179,"多国","名詞",2
180,"始め","名詞",2
181,"姿勢","名詞",2
182,"威嚇","名詞",2
183,"威圧","名詞",2
184,"完全","名詞",2
185,"山積","名詞",2
186,"市場","名詞",2
187,"常任","名詞",2
188,"建設","名詞",2
189,"形成","名詞",2
190,"役割","名詞",2
191,"急速","名詞",2
192,"成長","名詞",2
193,"戦略","名詞",2
194,"拒否","名詞",2
195,"招く","動詞",2
196,"指摘","名詞",2
197,"操作","名詞",2
198,"支え","動詞",2
199,"改革","名詞",2
200,"攻撃","名詞",2
201,"政策","名詞",2
202,"期待","名詞",2
203,"本来","名詞",2
204,"核兵器","名詞",2
205,"根幹","名詞",2
206,"格差","名詞",2
207,"構築","名詞",2
208,"機構","名詞",2
209,"武器","名詞",2
210,"求める","動詞",2
211,"潮流","名詞",2
212,"無視","名詞",2
213,"現在","名詞",2
214,"発達","名詞",2
215,"確保","名詞",2
216,"確証","名詞",2
217,"管理","名詞",2
218,"紛争","名詞",2
219,"絡み合う","動詞",2
220,"自覚","名詞",2
221,"良い","形容詞",2
222,"行使","名詞",2
223,"裾野","名詞",2
224,"要請","名詞",2
225,"見せ","動詞",2
226,"観点","名詞",2
227,"試み","名詞",2
228,"諸国","名詞",2
229,"貿易","名詞",2
230,"転換","名詞",2
231,"進め","動詞",2
232,"達成","名詞",2
233,"適切","名詞",2
234,"選挙","名詞",2
235,"金融","名詞",2
236,"開か","動詞",2
237,"関与","名詞",2
238,"関心","名詞",2
239,"防災","名詞",2
240,"青書","名詞",2
241,"顕在","名詞",2
242,"あからさま","名詞",1
243,"あっ","動詞",1
244,"いかし","動詞",1
245,"いっ","動詞",1
246,"える","動詞",1
247,"がっ","動詞",1
248,"きめ","動詞",1
249,"きる","動詞",1
250,"くく","動詞",1
251,"けた","名詞",1
252,"げた","名詞",1
253,"させ","動詞",1
254,"しょ","動詞",1
255,"じん","名詞",1
256,"せん","名詞",1
257,"たせ","動詞",1
258,"たらす","動詞",1
259,"つながっ","動詞",1
260,"つながる","動詞",1
261,"なら","名詞",1
262,"またがる","動詞",1
263,"めぐり","動詞",1
264,"もたらす","動詞",1
265,"もつ","動詞",1
266,"る人","名詞",1
267,"アジア","名詞",1
268,"アプローチ","名詞",1
269,"イスラエル","名詞",1
270,"イナ","名詞",1
271,"イニシアティブ","名詞",1
272,"イノ","名詞",1
273,"イル","名詞",1
274,"イン","名詞",1
275,"インターネット","名詞",1
276,"ウイルス","名詞",1
277,"ウクラ","名詞",1
278,"エネルギー","名詞",1
279,"オーストラリア","名詞",1
280,"カップリング","名詞",1
281,"ガザ","名詞",1
282,"ギャップ","名詞",1
283,"グロー","名詞",1
284,"グローバリゼーション","名詞",1
285,"コミットメント","名詞",1
286,"コミュニケーション","名詞",1
287,"コロナ","名詞",1
288,"コンセンサス","名詞",1
289,"サイル","名詞",1
290,"サミット","名詞",1
291,"ジェンダー","名詞",1
292,"テク","名詞",1
293,"デカップリング","名詞",1
294,"ナン","名詞",1
295,"ニューヨーク","名詞",1
296,"ニーズ","名詞",1
297,"ネット","名詞",1
298,"ハマス","名詞",1
299,"バイア","名詞",1
300,"バイアス","名詞",1
301,"バラ","名詞",1
302,"バランス","名詞",1
303,"バル","名詞",1
304,"バー","名詞",1
305,"パワーバ","名詞",1
306,"フィリピン","名詞",1
307,"プーリア","名詞",1
308,"ベーション","名詞",1
309,"ミサ","名詞",1
310,"ミット","名詞",1
311,"モノ","名詞",1
312,"ランス","名詞",1
313,"リード","名詞",1
314,"ロジー","名詞",1
315,"ワーク","名詞",1
316,"ンス","名詞",1
317,"一つ","名詞",1
318,"一体","名詞",1
319,"一国","名詞",1
320,"一致","名詞",1
321,"一般","名詞",1
322,"一連","名詞",1
323,"三つ","名詞",1
324,"上がっ","動詞",1
325,"上位","名詞",1
326,"不可分","名詞",1
327,"不可能","名詞",1
328,"不透明","名詞",1
329,"与える","動詞",1
330,"世代","名詞",1
331,"世論","名詞",1
332,"両国","名詞",1
333,"両用","名詞",1
334,"主張","名詞",1
335,"乗り","動詞",1
336,"乗り越え","動詞",1
337,"事例","名詞",1
338,"事象","名詞",1
339,"互恵","名詞",1
340,"交渉","名詞",1
341,"人工","名詞",1
342,"今日","名詞",1
343,"他国","名詞",1
344,"以来","名詞",1
345,"以降","名詞",1
346,"伝達","名詞",1
347,"低く","形容詞",1
348,"作り","名詞",1
349,"促進","名詞",1
350,"個々","名詞",1
351,"健全","名詞",1
352,"債務","名詞",1
353,"優先","名詞",1
354,"克服","名詞",1
355,"公平","名詞",1
356,"共有","名詞",1
357,"兵士","名詞",1
358,"具体","名詞",1
359,"再び","名詞",1
360,"出典","名詞",1
361,"分野","名詞",1
362,"別個","名詞",1
363,"利便","名詞",1
364,"利用","名詞",1
365,"到来","名詞",1
366,"前提","名詞",1
367,"前述","名詞",1
368,"創出","名詞",1
369,"効果","名詞",1
370,"動向","名詞",1
371,"動的","名詞",1
372,"勢力","名詞",1
373,"包括","名詞",1
374,"包摂","名詞",1
375,"化す","動詞",1
376,"北大","名詞",1
377,"北朝","名詞",1
378,"南シナ海","名詞",1
379,"即し","動詞",1
380,"厳しい","形容詞",1
381,"厳しく","形容詞",1
382,"参加","名詞",1
383,"双方","名詞",1
384,"反映","名詞",1
385,"収れん","名詞",1
386,"取り","動詞",1
387,"取り巻く","動詞",1
388,"取組","名詞",1
389,"可逆","名詞",1
390,"台湾","名詞",1
391,"台頭","名詞",1
392,"各国","名詞",1
393,"向き","名詞",1
394,"向けれ","動詞",1
395,"向上","名詞",1
396,"否定","名詞",1
397,"含め","動詞",1
398,"喫緊","名詞",1
399,"回復","名詞",1
400,"図る","動詞",1
401,"国々","名詞",1
402,"国境","名詞",1
403,"国益","名詞",1
404,"圧倒的","名詞",1
405,"在留","名詞",1
406,"地政学","名詞",1
407,"基づき","動詞",1
408,"基本","名詞",1
409,"基盤","名詞",1
410,"場所","名詞",1
411,"増し","名詞",1
412,"変革","名詞",1
413,"多角","名詞",1
414,"大国","名詞",1
415,"大統領","名詞",1
416,"大西洋","名詞",1
417,"大陸","名詞",1
418,"守り","動詞",1
419,"守る","動詞",1
420,"容易","名詞",1
421,"対策","名詞",1
422,"将来","名詞",1
423,"尊重","名詞",1
424,"導体","名詞",1
425,"尖閣諸島","名詞",1
426,"展開","名詞",1
427,"嶼国","名詞",1
428,"巻く","動詞",1
429,"幅広い","形容詞",1
430,"平等","名詞",1
431,"広がり","名詞",1
432,"広く","形容詞",1
433,"強く","形容詞",1
434,"強まっ","動詞",1
435,"強め","動詞",1
436,"強める","動詞",1
437,"強大","名詞",1
438,"強調","名詞",1
439,"強靱","名詞",1
440,"強靱","名詞",1
441,"弾薬","名詞",1
442,"後発","名詞",1
443,"念頭","名詞",1
444,"恩恵","名詞",1
445,"悪化","名詞",1
446,"感染","名詞",1
447,"慣行","名詞",1
448,"憂慮","名詞",1
449,"憲章","名詞",1
450,"懸命","名詞",1
451,"懸念","名詞",1
452,"戦後","名詞",1
453,"戦火","名詞",1
454,"手続","名詞",1
455,"把握","名詞",1
456,"招き","動詞",1
457,"括り","動詞",1
458,"持た","動詞",1
459,"採択","名詞",1
460,"推進","名詞",1
461,"提供","名詞",1
462,"揺るがさ","動詞",1
463,"揺るがす","動詞",1
464,"支持","名詞",1
465,"断固","名詞",1
466,"新型","名詞",1
467,"方向","名詞",1
468,"日中","名詞",1
469,"明し","名詞",1
470,"明るみ","名詞",1
471,"時事","名詞",1
472,"暴挙","名詞",1
473,"最終","名詞",1
474,"期間","名詞",1
475,"未然","名詞",1
476,"本章","名詞",1
477,"本質","名詞",1
478,"条約","名詞",1
479,"東シナ海","名詞",1
480,"東南アジア","名詞",1
481,"果たし","動詞",1
482,"核軍縮","名詞",1
483,"検証","名詞",1
484,"概観","名詞",1
485,"構造","名詞",1
486,"様々","名詞",1
487,"様相","名詞",1
488,"模索","名詞",1
489,"機会","名詞",1
490,"機微","名詞",1
491,"機能","名詞",1
492,"正しい","形容詞",1
493,"武力","名詞",1
494,"永続","名詞",1
495,"活動","名詞",1
496,"海外","名詞",1
497,"海峡","名詞",1
498,"浸透","名詞",1
499,"深まっ","動詞",1
500,"激し","形容詞",1
501,"物資","名詞",1
502,"犠牲","名詞",1
503,"犯罪","名詞",1
504,"独自","名詞",1
505,"率直","名詞",1
506,"現下","名詞",1
507,"現実","名詞",1
508,"生じ","動詞",1
509,"生じる","動詞",1
510,"生成","名詞",1
511,"用語","名詞",1
512,"発射","名詞",1
513,"発生","名詞",1
514,"発言","名詞",1
515,"目の当たり","名詞",1
516,"目指し","動詞",1
517,"目指す","動詞",1
518,"目標","名詞",1
519,"目的","名詞",1
520,"直接的","名詞",1
521,"直結","名詞",1
522,"相対","名詞",1
523,"相手","名詞",1
524,"相違","名詞",1
525,"瞬時","名詞",1
526,"知的","名詞",1
527,"知能","名詞",1
528,"示し","動詞",1
529,"禁止","名詞",1
530,"突き付ける","動詞",1
531,"窃取","名詞",1
532,"立場","名詞",1
533,"築き上げ","動詞",1
534,"約束","名詞",1
535,"組織","名詞",1
536,"結束","名詞",1
537,"統合","名詞",1
538,"統治","名詞",1
539,"続い","動詞",1
540,"緊急","名詞",1
541,"総体","名詞",1
542,"縮まっ","動詞",1
543,"繰り","動詞",1
544,"背景","名詞",1
545,"能動","名詞",1
546,"脆弱","名詞",1
547,"自ら","名詞",1
548,"自体","名詞",1
549,"自己","名詞",1
550,"自身","名詞",1
551,"行っ","動詞",1
552,"行わ","動詞",1
553,"行動","名詞",1
554,"行為","名詞",1
555,"補う","動詞",1
556,"複数","名詞",1
557,"西洋","名詞",1
558,"見合う","動詞",1
559,"見渡す","動詞",1
560,"規範","名詞",1
561,"言い","動詞",1
562,"記し","動詞",1
563,"許し","動詞",1
564,"評価","名詞",1
565,"試みる","動詞",1
566,"試練","名詞",1
567,"調達","名詞",1
568,"財産","名詞",1
569,"資金","名詞",1
570,"越え","動詞",1
571,"越える","動詞",1
572,"踏まえ","動詞",1
573,"踏みにじ","動詞",1
574,"辞典","名詞",1
575,"述べ","動詞",1
576,"追求","名詞",1
577,"透明","名詞",1
578,"途上","名詞",1
579,"通じ","動詞",1
580,"通信","名詞",1
581,"連合","名詞",1
582,"連結","名詞",1
583,"進み","動詞",1
584,"進める","動詞",1
585,"進歩","名詞",1
586,"過程","名詞",1
587,"適応","名詞",1
588,"選択","名詞",1
589,"邦人","名詞",1
590,"重大","名詞",1
591,"量子","名詞",1
592,"鉱物","名詞",1
593,"鑑みれ","動詞",1
594,"長き","名詞",1
595,"開催","名詞",1
596,"開始","名詞",1
597,"防ぎ","動詞",1
598,"阻害","名詞",1
599,"隔絶","名詞",1
600,"離れ","動詞",1
601,"面する","動詞",1
602,"革新","名詞",1
603,"韓国","名詞",1
604,"領土","名詞",1
605,"首脳","名詞",1
606,"高めよ","動詞",1
607,"高める","動詞",1
608,"高度","名詞",1
